File Path, length, jumps, hops, dives, movetoward, moveaway, moveup, leftscore, right score,difference,points scored
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session13.bytes,16.57162,23,1,22,48.59993,10.8,57.90403,1,8,-7,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session14.bytes,15.4169,19,2,20,44.69994,6.670008,57.296,7,5,2,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session15.bytes,15.33725,24,0,24,42.89994,11.23999,53.03601,3,4,-1,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session16.bytes,16.81539,23,1,22,43.79993,12.43,55.21601,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session17.bytes,16.35696,20,2,21,40.03995,12.67,54.10001,3,5,-2,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session18.bytes,16.50069,16,5,19,53.83991,3.380008,61.65601,2,9,-7,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session19.bytes,14.98983,19,3,22,44.99994,8.850012,60.45601,4,4,0,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session20.bytes,18.2048,21,6,23,47.69993,15.53998,62.94801,3,5,-2,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session21.bytes,15.65038,26,0,23,44.69994,8.070009,58.21201,1,8,-7,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session22.bytes,17.27348,27,0,25,46.19993,9.300001,60.08401,4,7,-3,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session23.bytes,16.08926,20,2,19,44.09994,7.93,51.05601,0,10,-10,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session24.bytes,15.19089,22,1,23,45.29993,9.49,52.74401,5,6,-1,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session25.bytes,17.09648,20,4,24,50.99992,10.26,61.04401,1,7,-6,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session26.bytes,16.89851,28,0,28,52.19992,9.660006,63.71203,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session27.bytes,15.40928,23,2,22,41.76994,9.680001,52.23602,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session28.bytes,15.1963,22,1,23,47.39993,6.640008,54.35202,5,5,0,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session29.bytes,17.35155,22,5,25,54.89991,11.82002,65.58002,2,11,-9,13
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session30.bytes,15.60163,17,3,19,47.39993,12.79001,70.98001,3,4,-1,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session31.bytes,16.12141,17,3,20,44.99994,4.660006,59.82803,6,4,2,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session32.bytes,17.08677,23,3,25,56.09991,9.990009,66.28803,2,7,-5,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session33.bytes,17.39817,16,6,22,49.49992,8.820008,70.55202,2,7,-5,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session34.bytes,15.80285,21,2,22,47.09993,7.220014,58.94002,0,7,-7,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session35.bytes,15.70809,19,1,20,45.59994,10.69,57.39202,5,4,1,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session36.bytes,16.37424,22,1,21,46.79993,7.020004,62.88,1,8,-7,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session37.bytes,15.3432,19,3,21,45.59993,12.77999,54.664,1,6,-5,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session38.bytes,15.65105,22,2,24,48.59992,9.719994,60.21202,3,9,-6,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session39.bytes,14.98844,18,2,19,39.59995,11.88,52.32002,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session40.bytes,15.5413,19,2,20,46.49993,6.240005,64.616,1,8,-7,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session41.bytes,16.13559,20,3,22,50.09992,8.140008,61.51201,0,12,-12,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session42.bytes,16.62658,18,3,21,49.79992,6.050007,62.88402,2,9,-7,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session43.bytes,17.32676,19,6,21,49.79992,9.290014,64.93999,3,10,-7,13
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session44.bytes,17.60457,26,0,24,50.69992,8.09,66.37602,4,8,-4,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session45.bytes,15.55974,22,1,23,47.39993,11.79001,63.40403,0,9,-9,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session46.bytes,16.18419,23,2,23,46.79993,4.080005,57.43602,2,10,-8,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session47.bytes,15.66479,21,2,21,44.69993,4.430008,53.00003,5,7,-2,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session48.bytes,15.56271,22,2,23,42.89994,9.850004,54.36002,1,6,-5,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session49.bytes,16.74219,22,1,23,44.99994,7.370005,59.06402,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session50.bytes,15.82005,21,2,20,41.09994,11.82999,52.83601,0,9,-9,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session51.bytes,17.19402,19,3,21,40.26995,8.080012,45.53201,0,7,-7,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session52.bytes,15.35248,15,2,16,47.69993,6.410007,54.43601,0,7,-7,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session53.bytes,18.4759,24,2,25,49.49992,11.06001,65.16003,1,5,-4,6
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session54.bytes,16.10483,20,4,23,42.59994,10.7,56.38001,0,6,-6,6
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session55.bytes,15.96319,20,3,20,36.29996,18.88998,54.27201,1,3,-2,4
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session56.bytes,15.1182,18,3,21,45.89993,9.030014,56.72801,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session57.bytes,15.89938,21,3,21,39.59996,16.37999,54.38403,4,5,-1,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session58.bytes,15.00062,19,1,18,40.49995,3.170008,47.85601,4,7,-3,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session59.bytes,16.11204,20,3,23,49.19992,10.18999,58.12002,3,7,-4,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session60.bytes,16.05373,21,0,20,47.69992,8.790007,62.15201,1,7,-6,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session61.bytes,16.6823,20,3,23,44.09994,12.83999,60.56802,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session62.bytes,16.38202,21,2,23,43.26994,14.48998,51.492,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session63.bytes,16.38124,19,2,21,47.69993,8.070009,62.75202,2,8,-6,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session64.bytes,16.76834,20,3,20,51.29992,11.00001,61.62402,0,8,-8,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session65.bytes,16.67622,22,1,20,46.49993,10.95,56.69601,3,7,-4,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session66.bytes,15.96485,21,0,20,45.89993,3.410006,63.56402,4,6,-2,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session67.bytes,16.06538,18,2,20,47.39993,5.380005,57.42402,4,8,-4,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session68.bytes,15.04389,20,2,20,41.69994,5.08001,56.28801,3,7,-4,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session69.bytes,16.48369,19,5,20,43.49994,8.350018,57.45601,1,10,-9,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session70.bytes,17.44521,20,3,22,54.29991,8.530012,65.66401,3,9,-6,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session71.bytes,15.14751,18,3,20,46.79993,8.480004,60.79602,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session72.bytes,15.6644,22,2,24,47.39993,14.64,59.30402,4,2,2,6
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session73.bytes,15.13311,22,2,23,44.83994,14.10999,62.19999,3,4,-1,7
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session74.bytes,16.5603,18,5,21,52.49991,5.990006,58.51601,4,8,-4,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session75.bytes,19.73768,28,2,26,56.9999,15.38998,69.25201,3,6,-3,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session76.bytes,15.73449,21,3,23,46.79993,9.98,60.32802,4,5,-1,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session77.bytes,16.88518,22,1,22,55.19991,5.64001,63.01601,4,7,-3,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session78.bytes,16.88325,19,5,23,51.29992,6.020008,60.70401,4,8,-4,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session79.bytes,15.7001,21,1,19,44.39994,7.899999,57.07602,1,7,-6,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session80.bytes,16.2648,20,4,24,50.39992,6.430006,64.98801,4,7,-3,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session81.bytes,15.45512,17,2,19,43.93993,8.480001,57.27201,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session82.bytes,17.04821,19,6,23,50.99992,4.690007,62.58002,2,9,-7,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session83.bytes,16.83777,22,3,22,49.49993,10.27,55.832,1,7,-6,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session84.bytes,15.3912,20,3,22,41.09994,12.99999,50.75201,0,9,-9,9
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session85.bytes,16.44106,22,1,21,47.69993,9.100012,60.36802,3,7,-4,10
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session86.bytes,17.13759,22,4,24,44.99994,7.860008,57.96001,2,10,-8,12
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session87.bytes,16.04212,20,1,19,45.59994,13.20999,61.86,2,6,-4,8
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session88.bytes,16.40376,25,3,27,51.59992,7.47001,63.82803,3,8,-5,11
Assets/DropFeetGame/RecordedReplays/Random/replay2021-26-2--11-42-39Session89.bytes,14.70891,16,2,16,33.89996,5.040008,44.16801,2,5,-3,7
